"H (kA_per_meter)" 	"B (tesla)"
350 	0.25597519600000002
351 	0.256085919
351 	0.25619593699999998
352 	0.25630525300000001
353 	0.25641386999999999
353 	0.25652179200000003
354 	0.25662902199999998
355 	0.256735563
356 	0.25684141700000002
356 	0.256946589
357 	0.25705108100000001
358 	0.25715489600000002
358 	0.25725803800000002
359 	0.25736050799999999
360 	0.25746231200000003
360 	0.25756345000000003
361 	0.25766392700000001
362 	0.25776374600000002
363 	0.257862908
363 	0.25796141900000003
364 	0.25805927899999997
365 	0.25815649299999999
365 	0.258253063
366 	0.25834899099999997
367 	0.25844428200000003
367 	0.258538938
368 	0.25863296200000002
369 	0.25872635599999999
369 	0.25881912299999998
370 	0.258911267
371 	0.25900278999999998
372 	0.25909369500000001
372 	0.25918398399999998
373 	0.25927366099999999
374 	0.25936272900000001
374 	0.25945118900000003
375 	0.25953904500000002
376 	0.25962629999999998
376 	0.25971295500000002
377 	0.25979901500000002
378 	0.259884481
378 	0.25996935700000001
379 	0.260053645
380 	0.26013734700000002
381 	0.26022046700000001
381 	0.260303006
382 	0.26038496799999999
383 	0.26046635499999998
383 	0.26054716999999999
384 	0.260627416
385 	0.26070709399999997
385 	0.26078620800000002
386 	0.26086475999999997
387 	0.260942752
388 	0.26102018799999999
388 	0.26109706900000001
389 	0.261173398
390 	0.26124917800000003
390 	0.26132441099999998
391 	0.2613991
392 	0.26147324700000002
392 	0.261546854
393 	0.26161992499999998
394 	0.26169246000000002
394 	0.26176446399999997
395 	0.26183593799999999
396 	0.26190688400000001
397 	0.26197730499999999
397 	0.26204720399999998
398 	0.26211658300000001
399 	0.26218544300000002
399 	0.26225378799999999
400 	0.26232161999999998
401 	0.26238894099999999
401 	0.26245575300000001
402 	0.26252205899999997
403 	0.26258786099999998
403 	0.262653162
404 	0.26271796200000003
405 	0.26278226599999999
406 	0.26284607500000001
406 	0.26290939099999999
407 	0.26297221599999998
408 	0.263034553
408 	0.26309640499999998
409 	0.26315777200000001
410 	0.26321865799999999
410 	0.26327906400000001
411 	0.26333899300000002
412 	0.26339844600000001
413 	0.26345742700000002
413 	0.26351593699999998
414 	0.26357397799999999
415 	0.26363155199999999
415 	0.26368866200000002
416 	0.26374531000000001
417 	0.263801497
417 	0.263857226
418 	0.263912498
419 	0.26396731699999998
419 	0.26402168399999998
420 	0.26407560000000002
421 	0.26412906899999999
422 	0.26418209100000001
422 	0.26423467
423 	0.26428680700000001
424 	0.26433850399999997
424 	0.26438976199999997
425 	0.26444058500000001
426 	0.26449097399999999
426 	0.26454093099999998
427 	0.26459045799999997
428 	0.26463955700000003
428 	0.264688229
429 	0.26473647700000003
430 	0.264784303
431 	0.264831708
431 	0.264878695
432 	0.26492526500000002
433 	0.26497142099999998
433 	0.265017163
434 	0.26506249500000001
435 	0.26510741700000001
435 	0.26515193199999998
436 	0.26519604099999999
437 	0.26523974700000003
438 	0.26528305099999999
438 	0.265325955
439 	0.265368461
440 	0.26541057000000001
440 	0.26545228500000001
441 	0.26549360700000002
442 	0.26553453799999999
442 	0.26557507899999999
443 	0.26561523300000001
444 	0.265655001
444 	0.265694386
445 	0.26573338699999999
446 	0.26577200899999998
447 	0.265810251
447 	0.26584811600000002
448 	0.265885606
449 	0.265922722
449 	0.26595946599999998
450 	0.26599583999999998
451 	0.26603184499999999
451 	0.26606748299999999
452 	0.26610275500000002
453 	0.266137664
453 	0.26617221099999999
454 	0.26620639699999998
455 	0.26624022400000003
456 	0.26627369400000001
456 	0.26630680899999998
457 	0.26633957000000003
458 	0.26637197800000001
458 	0.26640403499999998
459 	0.266435743
460 	0.26646710400000001
460 	0.26649811800000001
461 	0.26652878800000002
462 	0.26655911500000001
463 	0.26658910099999999
463 	0.26661874699999999
464 	0.26664805400000002
465 	0.26667702500000001
465 	0.26670566000000001
466 	0.26673396199999999
467 	0.26676193100000001
467 	0.26678956999999998
468 	0.26681687900000001
469 	0.26684385999999999
469 	0.266870516
470 	0.26689684600000002
471 	0.26692285300000002
472 	0.26694853800000001
472 	0.26697390300000001
473 	0.26699894899999999
474 	0.26702367700000001
474 	0.26704808899999999
475 	0.26707218700000002
476 	0.26709597099999999
476 	0.26711944300000001
477 	0.26714260499999998
478 	0.26716545800000002
478 	0.26718800300000001
479 	0.26721024199999999
480 	0.26723217599999999
481 	0.26725380599999998
481 	0.267275135
482 	0.267296162
483 	0.267316891
483 	0.26733732100000002
484 	0.26735745399999999
485 	0.26737729199999999
485 	0.26739683600000003
486 	0.267416088
487 	0.26743504800000001
488 	0.26745371699999998
488 	0.26747209900000002
489 	0.26749019200000002
490 	0.26750800000000002
490 	0.26752552299999999
491 	0.26754276199999999
492 	0.267559718
492 	0.267576394
493 	0.26759279000000002
494 	0.26760890799999998
494 	0.26762474800000002
495 	0.26764031199999999
496 	0.26765560199999999
497 	0.26767061800000003
497 	0.26768536199999998
498 	0.267699835
499 	0.26771403799999999
499 	0.26772797300000001
500 	0.26774164
501 	0.26775504100000003
501 	0.267768177
502 	0.26778104899999999
503 	0.26779365900000002
503 	0.26780600700000001
504 	0.26781809499999998
505 	0.267829924
506 	0.26784149600000001
506 	0.26785281
507 	0.26786386899999998
508 	0.26787467399999998
508 	0.267885225
509 	0.26789552500000002
510 	0.26790557300000001
510 	0.26791537199999998
511 	0.26792492200000001
512 	0.26793422500000003
513 	0.26794328099999998
513 	0.267952091
514 	0.26796065800000002
515 	0.26796898099999999
515 	0.26797706300000002
516 	0.267984903
517 	0.26799250400000002
517 	0.26799986599999998
518 	0.26800699100000003
519 	0.26801387900000001
519 	0.26802053100000001
520 	0.26802694900000001
521 	0.26803313299999998
522 	0.26803908599999998
522 	0.26804480600000002
523 	0.26805029699999999
524 	0.268055559
524 	0.26806059199999999
525 	0.26806539899999998
526 	0.26806997900000001
526 	0.26807433400000003
527 	0.26807846499999999
528 	0.26808237299999998
528 	0.26808606000000001
529 	0.268089525
530 	0.26809276999999998
531 	0.268095796
531 	0.26809860400000002
532 	0.26810119500000001
533 	0.26810357000000001
533 	0.26810572999999999
534 	0.26810767600000002
535 	0.26810940900000002
535 	0.26811093000000003
536 	0.26811223899999997
537 	0.26811333900000001
538 	0.26811422899999998
538 	0.26811490999999998
539 	0.26811538499999998
540 	0.26811565300000001
540 	0.26811571499999998
541 	0.268115573
542 	0.26811522700000001
542 	0.268114678
543 	0.268113928
544 	0.26811297699999997
544 	0.268111826
545 	0.26811047500000001
546 	0.268108927
547 	0.26810718100000003
547 	0.268105239
548 	0.26810310199999998
549 	0.26810076999999999
549 	0.26809824399999999
550 	0.268095525
551 	0.26809261499999998
551 	0.268089513
552 	0.26808622199999999
553 	0.26808273999999999
553 	0.268079071
554 	0.26807521400000001
555 	0.26807117000000003
556 	0.26806693999999998
